disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,171501,False,2i15hFFOMn5XHc4ZFDV4hO,False,True,Black Veins Pt. 1,49,10,track,album,Men & Coyotes,2015,country,0.494,0.652,10,-5.531,0,0.0291,0.271,0.00015,0.169,0.565,91.032,4
1,195680,False,3kPWlLtHjP0jO18AaPQzsz,False,True,Borrowed Time,48,6,track,single,"The B-Sides, 2011-2014",2015,country,0.647,0.58,8,-7.647,1,0.0316,0.123,0.0,0.151,0.199,85.083,4
1,201920,False,59iOzvbFUg6dab7qLYj0M3,False,True,Wild Ones,52,1,track,album,Wild Ones (Deluxe),2015,country,0.735,0.561,10,-6.651,1,0.041,0.0279,2.54e-06,0.086,0.803,76.01,3
1,248653,False,5vnxFrKjeFmx5Pmw42g4dz,False,True,Still Think About You,48,11,track,album,Ringling Road,2015,country,0.597,0.423,10,-6.815,1,0.0285,0.0645,1.65e-05,0.144,0.288,115.04,4
1,227333,False,7nEdCj0MFbGWOxwjlpPesa,False,True,It's Your Love,50,8,track,compilation,35 Biggest Hits,2015,country,0.474,0.528,7,-8.588,1,0.0276,0.526,0.0,0.109,0.364,144.366,4
1,217160,False,3vVJuEZYAMdQrSwgcAEI1b,False,True,She Get Me High,47,3,track,album,Spring Break...Checkin' Out,2015,country,0.55,0.791,5,-4.953,1,0.038,0.0155,0.0,0.0548,0.784,173.932,4
1,193613,False,3TWffuE2fuzzl1qC2W2V6j,False,True,24 Frames,50,2,track,album,Something More Than Free,2015,country,0.568,0.527,4,-10.206,0,0.0249,0.156,0.0,0.136,0.761,104.93,4
1,246466,False,1eUagnbOw9MjesonPWNkNQ,False,True,Galveston Bay,46,7,track,album,The Limestone Kid,2015,country,0.527,0.375,0,-6.387,1,0.0243,0.482,0.0,0.132,0.318,81.92,3
1,243319,False,2SYvX2G6D5SD6BpijIOBpG,False,True,Things Happen,52,1,track,album,All Your Favorite Bands,2015,country,0.522,0.531,7,-7.78,1,0.0293,0.387,0.0,0.202,0.761,79.252,4
1,205333,False,0wWkvj4k9n3Zqbnge9nkOz,False,True,Tuxedo,48,3,track,single,Clare Dunn,2015,country,0.587,0.873,2,-4.027,1,0.0418,0.00486,0.0,0.116,0.415,140.01,4
1,212720,False,1xT8auZdc8Rksi7RSGZoax,False,True,Running For You,49,12,track,album,Wild Ones (Deluxe),2015,country,0.673,0.626,2,-5.921,1,0.0428,0.0173,1.7e-05,0.0676,0.726,155.997,4
2,164653,False,6ORuFMNsVti1by7vkgDdVK,False,True,Born To Boogie,47,11,track,album,35 Biggest Hits,2015,country,0.573,0.94,9,-4.486,1,0.0359,0.0848,1.35e-05,0.154,0.878,90.286,4
1,226453,False,34iHdLUQE8rt4cMmJJytAZ,False,True,All Day,46,4,track,album,The Limestone Kid,2015,country,0.518,0.595,9,-6.277,1,0.0275,0.0124,1.35e-06,0.0848,0.183,144.002,4
1,190186,False,0xQYFmoFmS6914517ubkdz,False,True,Goodbye - Acoustic Mixtape,47,14,track,album,Between The Pines (Acoustic Mixtape),2015,country,0.622,0.491,6,-6.635,1,0.0305,0.804,0.0,0.177,0.755,89.946,4
1,244546,False,1YmT3bHeND3IQQ1WLH03jQ,False,True,Holdin' Her,47,4,track,album,Buy Me a Boat,2015,country,0.3,0.574,2,-5.126,1,0.0316,0.426,2.27e-05,0.0939,0.387,95.712,5
1,173266,False,3oBxf3KvflYpaFSR4S3wKv,False,True,I Met A Girl - Acoustic Mixtape,47,8,track,album,Between The Pines (Acoustic Mixtape),2015,country,0.535,0.642,6,-7.947,1,0.0483,0.899,0.0,0.118,0.574,87.488,4
1,175419,False,21gTsUmLsRLTawRUhffLnx,False,True,Drop Zone (TV Theme),47,3,track,single,As Heard On TV,2015,country,0.568,0.916,2,-5.256,1,0.0914,0.00711,0.0,0.306,0.681,141.985,4
