disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,162720,False,6EE19skJ32p58xihYj2Waa,False,True,She's Out Of Her Mind,61,3,track,album,California,2016,rock,0.447,0.967,0,-2.706,1,0.0793,0.00448,0.0,0.487,0.606,179.991,4
1,222040,False,5hRzAbY2AAO258hL6oqsqO,False,True,Love Me,55,2,track,album,"I like it when you sleep, for you are so beautiful yet so unaware of it",2016,rock,0.621,0.802,10,-3.285,0,0.04,0.00745,2.67e-05,0.597,0.887,97.012,4
1,218352,False,47WtMNT8S9n3eqsCn076Bf,False,True,When You Were Made,58,6,track,album,City Club,2016,rock,0.557,0.769,11,-5.401,1,0.0285,0.412,0.0,0.173,0.395,116.088,4
1,272665,False,5aeIj88MLdekYvObw5Yisk,False,True,Is There Anybody Out There?,65,1,track,single,Is There Anybody Out There?,2016,rock,0.408,0.953,7,-3.883,1,0.226,0.00532,0.0,0.338,0.291,177.94,4
1,152824,False,3BIzHNxAQbRTY4LCp1oMR1,False,True,Tesselation,60,4,track,album,Skiptracing,2016,rock,0.667,0.407,9,-9.467,1,0.0323,0.138,0.118,0.0961,0.551,73.998,4
1,242722,False,548ddxWI4sZKK1aCLuMR16,False,True,Lay My Claim,56,4,track,album,Falling into Place,2016,rock,0.877,0.618,5,-5.597,0,0.0456,0.0654,1e-05,0.056,0.846,90.997,4
1,270106,False,51cd3bzVmLAjlnsSZn4ecW,False,True,She's American,55,5,track,album,"I like it when you sleep, for you are so beautiful yet so unaware of it",2016,rock,0.647,0.857,1,-3.94,1,0.0547,0.167,0.000437,0.0763,0.55,115.976,4
1,209453,False,4ddm8wMOno5nihxLPACKXV,False,True,A Toast and a Spirit,58,4,track,single,"Girl, Say",2016,rock,0.611,0.819,9,-5.219,1,0.035,0.0144,1.74e-05,0.138,0.469,128.021,4
1,236252,True,1W0OCrMsRP1SLTEdw3JwEz,False,True,"Sweet Dreams, TN",63,7,track,album,Everything You've Come To Expect (Deluxe Edition),2016,rock,0.282,0.566,11,-6.924,0,0.0291,0.000878,0.0,0.38,0.477,112.362,3
1,180026,True,5vgdeMt4uKUN2BeltZjoDh,False,True,UGH!,55,3,track,album,"I like it when you sleep, for you are so beautiful yet so unaware of it",2016,rock,0.776,0.707,5,-4.073,0,0.175,0.222,0.0,0.0852,0.863,99.953,4
