disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,163066,True,3KAS4vmuvRGP2BUQcxmu5i,False,True,"Well, Everybody's Fucking In A U.F.O.",56,4,track,album,The Electric Warlock Acid Witch Satanic Orgy Celebration Dispenser,2016,rap,0.73,0.907,2,-4.478,1,0.0727,0.000111,0.00816,0.266,0.573,116.016,4
1,226306,False,141K1xJ176S0U6PPkc4Nee,False,True,I Just Wanna Know,56,3,track,album,Therapy Session,2016,rap,0.609,0.806,0,-6.581,0,0.0381,0.038,0.00615,0.0712,0.0754,100.052,4
1,223125,True,6UMMAOSxp2zIbC013IaX5Y,False,True,Demons,53,1,track,album,No Filter 2,2016,rap,0.659,0.631,11,-7.344,1,0.0445,0.129,0.0,0.648,0.329,111.975,4
1,195933,False,6nonTdcZbN2pmyiN032MXw,False,True,Intro 2,55,1,track,album,Therapy Session,2016,rap,0.614,0.936,1,-4.668,1,0.298,0.539,0.0,0.0984,0.433,139.973,4
1,177680,True,1py4qzrEEkOvU8uTHYLuOW,False,True,Super Mario World,53,7,track,album,Bobby Tarantino,2016,rap,0.862,0.662,0,-7.19,1,0.209,0.0548,0.0,0.0993,0.394,131.964,4
1,293053,False,33qrQEXQJg4uk6k8fZgoOa,False,True,Phantom Bride,56,10,track,album,Gore,2016,rap,0.266,0.654,9,-6.438,1,0.0466,0.0158,0.497,0.11,0.285,47.73,3
1,154346,True,2fgAJeky8Cpsr8Cfvn2NVp,False,True,untitled 03 | 05.28.2013.,56,3,track,album,untitled unmastered.,2016,rap,0.813,0.549,5,-12.427,0,0.269,0.608,1e-06,0.129,0.562,103.914,4
1,207391,True,6LTsvaebP6V9tJFvZxqi5M,False,True,Pull Up (feat. Lil Uzi Vert),54,1,track,single,Pull Up (feat. Lil Uzi Vert),2016,rap,0.852,0.764,8,-4.283,0,0.0631,0.0178,0.0,0.336,0.266,132.981,4
1,167575,True,2plFaDNZayLbtA9Ht1yCEo,False,True,Yung God,58,1,track,single,Yung God,2016,rap,0.548,0.75,7,-2.949,1,0.53,0.184,0.0,0.422,0.497,192.159,4
1,203386,True,1WdvlNe4W8fKgBKb07UXKY,False,True,M.O.M,55,9,track,album,Bears Like This Too Much,2016,rap,0.908,0.402,11,-10.472,0,0.294,0.17,2.88e-06,0.0941,0.19,102.015,4
1,206053,True,3cOyZkIgBZneCUm9ZSWfke,False,True,Slayed,52,4,track,album,Lil Big Pac,2016,rap,0.814,0.72,8,-4.785,1,0.29,0.252,0.0,0.057,0.436,135.066,4
1,260062,True,3E99aSAFKvgFAK4CtOoZVd,False,True,Problem Wit It (feat. DJ Paul),53,2,track,album,No Filter 2,2016,rap,0.885,0.498,0,-8.06,1,0.0556,0.261,0.00171,0.673,0.367,119.988,4
