,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
123,1,163636,True,696DnlkuDOXcMAnKlTgXXK,False,True,ROXANNE,78,1,track,single,ROXANNE,2019,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,Pop
124,1,171374,True,1xQ6trAsedVPCdbtDAmk0c,False,True,Savage Love (Laxed - Siren Beat),77,1,track,single,Savage Love (Laxed - Siren Beat),2020,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,Pop
133,1,209438,False,2XU0oxnq2qxCpomAAuJY8K,False,True,Dance Monkey,79,2,track,single,Dance Monkey (Stripped Back) / Dance Monkey,2019,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,Pop
134,1,211000,False,4EWCNWgDS8707fNSZ1oaA5,False,True,Heartless,86,3,track,album,808s & Heartbreak,2008,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,Pop
135,1,223480,True,4nK5YrxbMGZstTLbvj6Gxw,False,True,Supalonely,73,2,track,single,STELLA & STEVE,2019,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,Pop
136,1,221714,True,6cy3ki60hLwimwIje7tALf,False,True,RITMO (Bad Boys For Life),74,1,track,single,RITMO (Bad Boys For Life),2019,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,Pop
137,1,173333,False,7eJMfftS33KTjuF7lTsMCx,False,True,death bed (coffee for your head),83,1,track,single,death bed (coffee for your head),2020,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,Pop
138,1,208687,False,2kJwzbxV2ppxnQoYw4GLBZ,False,True,If the World Was Ending (feat. Julia Michaels),79,1,track,single,If the World Was Ending (feat. Julia Michaels),2019,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,Pop
139,1,218364,True,3F5CgOj3wFlRv51JsHbxhe,False,True,Jimmy Cooks (feat. 21 Savage),91,14,track,album,"Honestly, Nevermind",2022,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,Pop
140,1,176546,False,62aP9fBQKYKxi7PDXwcUAS,False,True,ily (i love you baby) (feat. Emilee),78,1,track,single,ily (i love you baby) (feat. Emilee),2019,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,Pop
141,1,158571,False,1Cv1YLb4q0RzL6pybtaMLo,False,True,Sunday Best,77,7,track,album,Where the Light Is,2019,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,Pop
146,1,167693,False,2wrJq5XKLnmhRXHIAf9xBa,False,True,"10,000 Hours (with Justin Bieber)",78,1,track,single,"10,000 Hours (with Justin Bieber)",2019,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,Pop
147,1,205484,True,2Y0wPrPQBrGhoLn14xRYCG,False,True,Come & Go (with Marshmello),81,12,track,album,Legends Never Die,2020,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,Pop
152,1,114893,False,1000nHvUdawXuUHgBod4Wv,False,True,Panini,72,2,track,single,Panini,2019,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,Pop
153,1,191406,False,5f1joOtoMeyppIcJGZQvqJ,False,True,Be Like That - feat. Swae Lee & Khalid,76,1,track,single,Be Like That (feat. Swae Lee & Khalid),2020,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,Pop
154,1,196652,True,0nbXyq5TXYPCO7pr3N8S4I,False,True,The Box,82,2,track,album,Please Excuse Me for Being Antisocial,2019,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,Pop
155,1,182200,False,7ju97lgwC2rKQ6wwsf9no9,False,True,Rain On Me (with Ariana Grande),78,4,track,album,Chromatica,2020,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,Pop
160,1,197293,False,7yFhA2fUsL2oIMWlw5DaHQ,False,True,The Bones,76,12,track,album,GIRL,2019,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004,Pop
165,1,199053,False,5QDLhrAOJJdNAmCTJ8xMyW,False,True,Dynamite,86,8,track,album,BE,2020,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,Pop
166,1,162546,True,6wJYhPfqk3KGhHRG76WzOh,False,True,Blueberry Faygo,74,1,track,single,Blueberry Faygo,2020,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,Pop
167,1,205473,True,7lidXGPXPYLNThITAOTlkK,False,True,You should be sad,73,4,track,album,Manic,2020,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,Pop
168,1,181805,False,2ufmtcIFdFpuUYBPXK5f67,False,True,Graveyard,69,3,track,album,Manic,2020,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,Pop
169,1,247058,True,127QTOFJsJQp5LbJbu3A1y,False,True,Toosie Slide,74,1,track,single,Toosie Slide,2020,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,Pop
170,1,290320,True,7lQ8MOhq6IN2w8EYcFNSUk,False,True,Without Me,89,10,track,album,The Eminem Show,2002,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,Pop
171,1,181026,False,22vgEDb5hykfaTwLuskFGD,False,True,Sucker,81,1,track,album,Happiness Begins,2019,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,Pop
176,1,219946,True,0SeXMsqHzmMFend7T5LVlk,False,True,I Don't Care,0,22,track,compilation,The State of Pop,2022,0.798,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,Pop
177,1,171029,False,6Qs4SXO9dwPj5GKvVOv8Ki,False,True,Dancing With A Stranger (with Normani),77,1,track,single,Dancing With A Stranger (with Normani),2019,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,Pop
182,1,190946,False,1rqqCSm0Qe4I9rUvWncaom,False,True,High Hopes,82,4,track,album,Pray for the Wicked,2018,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,Pop
183,1,194087,False,2Fxmhks0bxGSBdJ92vM42m,False,True,bad guy,84,2,track,album,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,Pop
184,1,149546,True,7xQAfvXzm3AkraOtGPWIZg,False,True,Wow.,82,17,track,album,Hollywood's Bleeding,2019,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,Pop
185,1,190960,False,0TK2YIli7K1leLovkQiNik,False,True,Señorita,81,1,track,single,Señorita,2019,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,Pop
186,1,178626,True,6ocbgoVGwYJhOv1GgI9NsF,False,True,7 rings,84,10,track,album,"thank u, next",2019,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,Pop
187,1,207320,True,3e9HZxeyfWwjeyPAMmWSSQ,False,True,"thank u, next",83,11,track,album,"thank u, next",2019,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,Pop
192,1,187436,False,7DnAm9FOTWE3cUvso43HhI,False,True,Sweet but Psycho,81,16,track,album,Heaven & Hell,2020,0.72,0.706,1,-4.719,1,0.0473,0.0684,0.0,0.166,0.62,133.002,Pop
197,1,190800,False,6LsAAHotRLMOHfCsSfYCsz,False,True,If I Can't Have You,74,1,track,single,If I Can't Have You,2019,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,Pop
