,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
734,1,181812,True,1e1JKLEDKP7hEQzJfNAgPl,False,True,Magnolia,79,2,track,album,Playboi Carti,2017,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,Hot 100
735,1,275080,True,0q75NwOoFiARAVp4EXU4Bs,False,True,Love Galore (feat. Travis Scott),77,2,track,album,Ctrl,2017,0.795,0.594,0,-6.2,1,0.0748,0.112,0.0,0.162,0.409,135.002,Hot 100
736,1,209269,True,1f5cbQtDrykjarZVrShaDI,False,True,Drowning (feat. Kodak Black),79,3,track,album,The Bigger Artist,2017,0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014,Hot 100
741,1,190311,True,5tFep7dXGd7vEJ668wTPux,False,True,Both (feat. Drake),69,4,track,album,The Return of East Atlanta Santa,2016,0.85,0.405,7,-7.509,0,0.225,0.119,0.000118,0.0707,0.344,139.976,Hot 100
742,1,269600,False,0Qh38w01QRXK6KHIv0e3hb,False,True,What About Us,75,4,track,album,Beautiful Trauma,2017,0.491,0.588,1,-6.177,1,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,Hot 100
743,1,216408,True,6kex4EBAj0WHXDKZMEJaaF,False,True,Swalla (feat. Nicki Minaj & Ty Dolla $ign),77,1,track,single,Swalla (feat. Nicki Minaj & Ty Dolla $ign),2017,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,Hot 100
744,1,304041,True,0TBgMKD86t1VP3IzhxCoUl,False,True,Slippery (feat. Gucci Mane),70,6,track,album,Culture,2017,0.92,0.675,1,-5.661,0,0.263,0.307,0.0,0.104,0.749,141.967,Hot 100
745,1,340706,False,5Ohxk2dO5COHF1krpoPigN,False,True,Sign of the Times,85,2,track,album,Harry Styles,2017,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,Hot 100
746,1,240439,False,4jL6WWKFDqCOPo2hC3VhSS,False,True,Water Under the Bridge,69,6,track,album,25,2015,0.59,0.833,5,-6.503,0,0.0615,0.0142,5.4e-06,0.105,0.538,94.963,Hot 100
747,1,231906,False,1UZOjK1BwmwWU14Erba9CZ,False,True,Malibu,77,2,track,album,Younger Now,2017,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,Hot 100
748,1,175889,False,0ARKW62l9uWIDYMZTUmJHF,False,True,Shut Down,89,2,track,album,BORN PINK,2022,0.82,0.686,0,-5.102,1,0.038,0.00412,0.0,0.184,0.668,110.058,Hot 100
749,1,222786,False,5lNuqFVMca4vPupY10cH0J,False,True,No Promises (feat. Demi Lovato),61,1,track,single,No Promises (feat. Demi Lovato),2017,0.739,0.619,10,-6.669,1,0.162,0.0572,0.0,0.105,0.58,112.961,Hot 100
754,1,205733,False,2YMhrXQYKkm4kXLcXKKd5z,False,True,Small Town Boy,69,3,track,album,Current Mood,2017,0.554,0.743,9,-6.016,1,0.0287,0.0251,0.0,0.359,0.673,72.997,Hot 100
755,1,197170,True,3J8Q6aBhjpvao8BsBQ6H9Y,False,True,Everyday We Lit (feat. PnB Rock),64,6,track,album,Long Live Nut,2017,0.758,0.646,7,-4.701,1,0.113,0.128,0.0,0.0776,0.589,155.949,Hot 100
756,1,212027,True,6Se3x9ANMLv0dCDsjGmEjh,False,True,do re mi,74,4,track,album,digital druglord,2017,0.745,0.593,8,-6.35,1,0.0524,0.00522,5.06e-06,0.123,0.17,111.001,Hot 100
757,1,126345,True,7floNISpH8VF4z4459Qo18,False,True,Look At Me!,82,1,track,single,Look At Me!,2017,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,Hot 100
758,1,269373,False,7x8dCjCr0x6x2lXKujYD34,False,True,The Pretender,79,1,track,album,"Echoes, Silence, Patience & Grace",2007,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,Hot 100
759,1,233720,False,50kpGaPAhYJ3sGmk6vplg0,False,True,Love Yourself,85,5,track,album,Purpose (Deluxe),2015,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,Hot 100
764,1,173986,False,1zi7xx7UVEFkmKfv06H8x0,False,True,One Dance,86,12,track,album,Views,2016,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,Hot 100
769,1,202333,False,3CRDbSIZ4r5MsZ0YwxuEkn,False,True,Stressed Out,85,2,track,album,Blurryface,2015,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,Hot 100
770,1,247866,True,275a9yzwGB6ncAW4SxY7q3,False,True,Panda,68,1,track,single,Panda,2016,0.685,0.731,10,-5.503,0,0.414,0.0292,0.0,0.369,0.266,145.245,Hot 100
775,2,209453,False,40XeGNGFchGYw7y0ue1GiG,False,True,Don’t Let Me Down - First Rooftop Performance,60,12,track,album,Let It Be (Super Deluxe),2021,0.455,0.502,4,-7.539,1,0.0493,0.699,0.000156,0.094,0.674,163.347,Hot 100
776,1,211666,False,3S4px9f4lceWdKf0gWciFu,False,True,Cheap Thrills,71,6,track,album,This Is Acting (Deluxe Version),2016,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,Hot 100
777,1,237300,False,5kqIPrATaCc2LqxVWzQGbk,False,True,7 Years,81,1,track,album,Lukas Graham,2016,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,Hot 100
