,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
94,1,161773,False,42lqBjPYlmL1EXpMDXvhSN,False,True,Somebody’s Problem,71,3,track,album,Dangerous: The Double Album,2021,0.658,0.538,5,-7.676,1,0.0289,0.657,0.0,0.123,0.62,136.967,Country
95,1,228266,False,0Lavu1rppGgXfiK27cAMyU,False,True,Minimum Wage,60,1,track,album,Body Language,2021,0.551,0.941,4,-3.793,1,0.0683,0.00179,0.0,0.066,0.744,90.039,Country
96,1,226266,False,2EEfUuBRZA4Ax1vYcluFS0,False,True,Knowing You,64,5,track,album,Here And Now,2020,0.557,0.565,7,-6.12,1,0.026,0.229,3.9e-06,0.119,0.187,125.956,Country
109,1,164677,False,4QpWhd7l2NrmGmfw4qGlpa,False,True,Next Girl,61,1,track,single,Next Girl,2020,0.583,0.867,11,-4.17,1,0.0637,0.143,0.0,0.0863,0.962,160.096,Country
114,1,260776,False,6qBFSepqLCuh5tehehc1bd,False,True,Like I Want You,78,7,track,album,TAKE TIME,2020,0.678,0.355,10,-7.757,0,0.0627,0.759,7.06e-05,0.114,0.438,119.772,Country
123,1,153337,False,34chhNX59Wo9HMFCsI3K8Y,False,True,Memory,73,1,track,single,Memory,2021,0.434,0.889,9,-5.684,1,0.0509,0.395,0.0,0.273,0.845,113.326,Country
124,1,186106,False,7IWV29mryrqtO0JVgnPtfv,False,True,Cold As You,72,19,track,album,What You See Ain't Always What You Get (Deluxe Edition),2020,0.598,0.846,6,-4.956,1,0.0355,0.0527,0.0,0.113,0.328,144.04,Country
125,1,179213,False,4Ec0q0j8hRTCX4QQ5MiHSX,False,True,Just About Over You,66,1,track,single,Just About Over You,2020,0.53,0.524,4,-5.751,1,0.0327,0.544,0.0,0.11,0.514,150.05,Country
138,1,170560,False,4wBjKhJx6JnGoNJfJs24pd,False,True,Thinking 'Bout You (feat. MacKenzie Porter),74,2,track,album,Blue In The Sky,2022,0.403,0.711,8,-4.189,1,0.0569,0.137,0.0,0.109,0.801,203.803,Country
139,1,206506,False,1tf4Bfk8JIKryLpWYRvyiI,False,True,Whiskey And Rain,68,1,track,single,Whiskey And Rain,2020,0.653,0.623,8,-4.56,1,0.0244,0.508,3.32e-06,0.285,0.718,100.021,Country
140,1,215733,False,2VxeLyX666F8uXCJ0dZF8B,False,True,Shallow,85,12,track,album,A Star Is Born Soundtrack,2018,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,Country
141,1,186293,False,096YtKWNRXdmYKFLelSBto,False,True,Still Goin Down,68,1,track,single,Still Goin Down,2020,0.58,0.751,7,-5.078,1,0.0267,0.49,0.0,0.277,0.718,148.108,Country
146,1,175920,False,2DINVEELpI3ibUW2EzeDs7,False,True,Undivided,55,1,track,single,Undivided,2021,0.583,0.812,10,-4.684,1,0.0299,0.131,0.0,0.201,0.408,89.992,Country
147,1,190451,False,4HD9SLK4s9rwRyuFt3n8N7,False,True,Same Boat,64,5,track,album,The Comeback,2021,0.486,0.838,6,-5.407,1,0.0617,0.0523,0.0,0.0845,0.664,171.963,Country
148,1,231832,False,1yRke3PmsyFrYlFZOAkABk,False,True,half of my hometown (feat. Kenny Chesney),70,9,track,album,kelsea,2020,0.57,0.618,10,-4.966,1,0.0445,0.153,0.0,0.159,0.286,138.034,Country
149,1,211706,False,3qwPYg8xTWPafQD3YUNaTU,False,True,How They Remember You,54,1,track,album,How They Remember You,2020,0.442,0.8,2,-5.12,1,0.0368,0.0124,0.0,0.0785,0.498,152.004,Country
154,1,207161,False,15npbUjCgwt2lRvyrJvyxw,False,True,Tequila Little Time,67,9,track,album,Heartache Medication,2019,0.757,0.705,2,-5.084,1,0.0252,0.0375,5.8e-06,0.114,0.855,104.972,Country
155,1,212720,False,3J5jotqUAjU479WhAiNkpU,False,True,Freedom Was A Highway,68,4,track,album,Bettie James,2020,0.563,0.847,1,-4.493,1,0.0468,0.0891,0.0,0.121,0.666,96.06,Country
160,1,205746,False,4RN6OApAESI3Sh0gf5iuAM,False,True,Worship You,56,3,track,single,Mixtape Vol. 1 - EP,2020,0.63,0.496,8,-7.011,1,0.0329,0.388,0.0,0.088,0.387,78.024,Country
165,1,190680,False,0sKEilrw1GrBlG6qsTCrP4,False,True,865,73,5,track,album,Dangerous: The Double Album,2021,0.532,0.584,8,-5.254,1,0.0248,0.723,0.0,0.101,0.367,88.003,Country
166,1,156894,True,3LVcKphzONOdQ2EATazlZq,False,True,Final Warning,72,1,track,single,Final Warning,2021,0.847,0.912,11,-3.129,1,0.257,0.0781,0.0,0.142,0.88,81.486,Country
171,1,217801,False,2bVeUlOC5JjTpkQXuUUoYm,False,True,GIVE HEAVEN SOME HELL,74,3,track,album,A ROCK,2020,0.639,0.843,11,-4.975,1,0.0362,0.0525,0.0,0.0854,0.528,126.047,Country
172,1,199680,False,2pUQX4d3Cjh3umGkVz0XyI,False,True,To Be Loved By You,66,3,track,album,Gold Chain Cowboy,2021,0.475,0.805,10,-4.456,1,0.0377,0.000453,0.0,0.143,0.488,145.976,Country
173,1,169999,True,5wujBwqG7INdStqGd4tRMX,False,True,Armed And Dangerous,79,5,track,album,Goodbye & Good Riddance,2018,0.736,0.67,10,-6.702,1,0.311,0.186,0.0,0.114,0.845,130.032,Country
174,1,235766,False,104czjfBY4eGJ1nCfMffYf,False,True,Love Story (Taylor’s Version),3,17,track,compilation,Обратно в клас - pop,2022,0.626,0.79,2,-4.302,1,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,Country
179,1,213718,False,4FdPnT2cFrpWCmWZd7GXc3,False,True,One Mississippi,69,1,track,single,One Mississippi,2021,0.471,0.846,0,-5.269,1,0.0389,0.00279,2.86e-06,0.145,0.539,100.089,Country
184,1,269724,True,2O8fDNr7arCI2vvOtnfyt0,False,True,Am I The Only One,56,4,track,album,Frayed At Both Ends,2022,0.617,0.626,1,-4.883,1,0.0268,0.798,4.69e-06,0.12,0.345,112.072,Country
189,1,277591,False,7l2tmgUhV7Y2aJHjiszifg,False,True,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),72,1,track,single,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),2021,0.661,0.819,11,-6.269,0,0.0519,0.167,0.0,0.0647,0.724,135.937,Country
190,1,201350,True,1yhft6ZqYadd4GOrKrmK3a,False,True,Dicked Down in Dallas,70,1,track,single,Dicked Down in Dallas,2020,0.51,0.929,6,-4.685,1,0.0456,0.0608,5.39e-06,0.101,0.438,122.036,Country
199,1,210173,False,2SiXAy7TuUkycRVbbWDEpo,False,True,You Shook Me All Night Long,81,7,track,album,Back In Black,1980,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,Country
200,1,203880,False,0OToGPCUGXMj9H1uZKbJsD,False,True,Take Me Home for Christmas,0,28,track,compilation,The Christmas Song - Chestnuts Roasting On an Open Fire,2022,0.694,0.769,6,-4.665,1,0.0325,0.163,0.0,0.0976,0.663,93.033,Country
201,1,171200,False,6OcCk1dbAb7XNHsC098oEM,False,True,I Quit Drinking,74,1,track,single,I Quit Drinking,2021,0.607,0.418,1,-6.997,1,0.0363,0.394,0.0,0.182,0.386,95.002,Country
202,1,206146,False,3k9t7uRfDkukXoolPzywtU,False,True,That's What Cowboys Do,9,1,track,album,The West: Then...Now...Next,2006,0.634,0.369,0,-8.944,1,0.0274,0.692,0.441,0.0872,0.507,84.058,Country
203,1,186458,False,1JTQG8J8jN8tjDTyUWnaRe,False,True,Ride the Lightning - 717 Tapes,70,1,track,single,Ride the Lightning (717 Tapes),2021,0.576,0.474,1,-6.342,1,0.0331,0.75,8.74e-05,0.0944,0.4,77.834,Country
204,1,230186,False,3fDltEt8rTrKy0lg3UHxqK,False,True,Underneath the Mistletoe,0,35,track,compilation,Hits de Noël 2022,2022,0.601,0.688,5,-5.51,1,0.0321,0.0133,0.0,0.115,0.507,123.951,Country
205,1,197223,False,2aq7ZO1is1czoQAh076QFU,False,True,Favorite Time Of Year,33,12,track,album,My Gift (Special Edition),2021,0.497,0.897,5,-4.21,1,0.0513,0.00635,0.0,0.305,0.539,142.007,Country
206,1,286813,False,5lbz5DK5AUXQTBFH9qle3i,False,True,Old Country Church - Hallelujah Version,62,1,track,album,Can I Take My Hounds to Heaven?,2022,0.544,0.556,7,-6.63,1,0.0312,0.47,0.0038,0.0575,0.45,143.6,Country
207,1,203036,False,4Qum1kECNQrpREev5fvAQ4,False,True,Truth About You,67,1,track,single,Truth About You,2021,0.492,0.708,10,-4.639,1,0.0334,0.0975,0.0,0.12,0.697,161.989,Country
220,1,213214,True,6VFKuuqSbA1GpMEosUgTwQ,False,True,Nobody But You,72,1,track,single,Nobody But You,2021,0.637,0.299,7,-11.314,1,0.0366,0.742,0.0,0.359,0.364,83.872,Country
225,1,170906,True,3B4q6KbHbGV51HO3GznBFF,False,True,What I Got,74,2,track,album,Sublime,1996,0.804,0.696,7,-7.47,1,0.0899,0.00877,0.000985,0.314,0.657,95.721,Country
230,1,198688,False,0Al3wN3keprGTSgG8NBwjr,False,True,I Hope You’re Happy Now,72,3,track,album,Carly Pearce,2020,0.591,0.815,10,-4.725,1,0.0366,0.168,8.68e-06,0.142,0.306,118.024,Country
231,1,193426,False,6NhS5LwYbJ6xD7BGvlWRJO,False,True,One Margarita,66,1,track,single,One Margarita,2020,0.641,0.842,9,-4.872,1,0.0464,0.0969,0.0,0.169,0.738,89.997,Country
232,1,204760,False,10xuH52YSXHWFwCaF1fsDd,False,True,Hard To Forget,66,2,track,album,SOUTHSIDE,2020,0.689,0.689,4,-5.517,1,0.045,0.23,0.0,0.57,0.664,130.069,Country
237,1,209760,False,0kPeZAyIhIfeZNrtfjJGDB,False,True,Bluebird,70,8,track,album,Wildcard,2019,0.661,0.633,7,-5.986,1,0.0348,0.038,2.75e-06,0.124,0.613,81.984,Country
238,1,223320,False,0nGXi46VcQQ56ZJR428MKS,False,True,Does To Me (feat. Eric Church),69,13,track,album,What You See Is What You Get,2019,0.616,0.849,0,-4.897,1,0.0373,0.311,0.0,0.311,0.638,113.065,Country
243,1,194866,False,0nYvjcSlCgjcwogQAwIwNp,False,True,Lovin' On You,71,4,track,album,What You See Is What You Get,2019,0.572,0.949,4,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.974,Country
253,1,164668,False,5P3oaNpPDVLRJsL3152SEs,False,True,Cool Again,60,1,track,single,Cool Again,2020,0.608,0.735,4,-5.497,1,0.0371,0.0156,1.69e-06,0.361,0.773,90.007,Country
258,1,185466,False,0clSHsrHl2irBkObcLEZqS,False,True,I Love My Country,56,5,track,album,Life Rolls On,2021,0.525,0.94,4,-3.546,1,0.065,0.0283,0.0,0.236,0.636,140.093,Country
